influencer_username,post_reel_link,likes,comments,views,caption,followers,total_posts,following,engagement_score,engagement_rate
kalieghgarris,https://www.instagram.com/p/Bw-dv5_n6SJ/,1,4,0,,0,486,769,5,0.0
missprissgowns,https://www.instagram.com/sherrihill/reel/DNQi9I-OxFy/,0,5,0,,0,0,0,5,0.0
millie_bankss,https://www.instagram.com/p/DJMhw71K1o_/,1,2,0,,438,19,419,3,0.006849
johannahcummings,https://www.instagram.com/p/B1MOUQsA4Jh/,1,2,0,,1415,91,838,3,0.00212
misstexasorg,https://www.instagram.com/p/DLXrJ11se1d/,1,2,0,,9336,2141,742,3,0.000321
breezebridal,https://www.instagram.com/sherrihill/p/DNjHqYzpODg/,3,0,0,,0,0,0,3,0.0
mckailienicolephoto,https://www.instagram.com/charlotte_and_emerson_couture/p/DN3HVwsQOOJ/,1,1,0,,3181,707,1685,2,0.000629
missamericawv,https://www.instagram.com/p/C3ztBFpuuvG/,1,1,0,,8873,1934,1368,2,0.000225
taylorswift,https://www.instagram.com/christineelectra/p/DN15VUU3l2K/,2,0,0,,0,687,0,2,0.0
olivia_tunont,https://www.instagram.com/sherrihill/p/DLdt7M7pRoA/,1,0,0,,191,15,322,1,0.005236
smalltowncouture300,https://www.instagram.com/p/C-EQebIvMXc/,1,0,0,,1193,767,213,1,0.000838
em_mills00,https://www.instagram.com/p/DEaVXmnRUZr/,1,0,0,,1204,35,1194,1,0.000831
pearlorgann,https://www.instagram.com/p/DBxg_yGumW5/,0,1,0,,1288,16,1461,1,0.000776
oddmuselondon,https://www.instagram.com/p/DNuHMCbWPIm/,1,0,0,,0,1157,1653,1,0.0
raynah21,https://www.instagram.com/misscateenusa/reel/DN1cK_4ZAqM/,1,0,0,,0,288,977,1,0.0
favored.studios,https://www.instagram.com/lastingimpressionsformalwear/reel/DNs54XZ3v4T/,0,0,0,,327,52,113,0,0.0
henriscloud9,https://www.instagram.com/sherrihill/p/DN3xHoC0mbF/,0,0,0,,0,0,0,0,0.0
kristybelcherphotography,https://www.instagram.com/p/DAJWfKdvaKB/,0,0,0,,7590,591,937,0,0.0
oeevening,https://www.instagram.com/sherrihill/p/DNY4B4FpXXS/,0,0,0,,0,0,0,0,0.0
peaches_boutique,https://www.instagram.com/sherrihill/p/DNMAi8Qp0ad/,0,0,0,,0,0,0,0,0.0
